time,open,high,low,close
1382548800,196.4,196.98,196.4,196.98
1382548860,196.98,196.98,196.98,196.98
1382548920,196.98,196.98,196.97,196.97
1382548980,196.97,196.97,196.09,196.41
1382549040,196.41,196.98,196.41,196.98
1382549100,196.98,196.98,196.8,196.8
1382549160,196.8,196.97,196.51,196.97
1382549220,196.97,196.97,196.97,196.97
1382549280,196.97,196.97,196.95,196.97
1382549340,196.97,196.97,196.97,196.97
1382549400,196.97,196.98,196.97,196.98
1382549460,196.98,197,196.97,197
1382549520,197,197,196.97,197
1382549580,197,197.12,197,197.12
1382549640,197.12,197.18,197.12,197.18
1382549700,197.23,197.5,197.23,197.5
1382549760,197.5,197.5,197.5,197.5
1382549820,197.5,197.5,197.5,197.5
1382549880,197.5,197.5,197.5,197.5
1382549940,197.51,197.64,197.51,197.64
1382550000,197.65,197.96,197.63,197.94
1382550060,197.93,197.96,197.93,197.96
1382550120,197.96,197.97,197.93,197.97
1382550180,197.98,197.99,197.98,197.98
1382550240,198,198,197.98,198
1382550300,198,198,197.99,198
1382550360,198,198,198,198
1382550420,198,198.5,198,198.5
1382550480,198.64,199,198.64,199
1382550540,199,199,198,198
1382550600,198.22,198.22,198,198
1382550660,NaN,NaN,NaN,NaN
1382550720,198.22,198.33,198,198
1382550780,NaN,NaN,NaN,NaN
1382550840,198.12,198.12,198.12,198.12
1382550900,198.46,198.46,198.46,198.46
1382550960,198.57,198.99,198.46,198.99
1382551020,198.83,198.98,198.83,198.98
1382551080,198.99,199,198.99,199
1382551140,199,199.03,198.87,199.03
1382551200,199.03,199.29,199.03,199.29
1382551260,199.39,199.66,199.1,199.66
1382551320,199.5,199.5,199,199.5
1382551380,199,199,199,199
1382551440,199.01,199.01,199.01,199.01
1382551500,199.13,199.5,199.13,199.5
1382551560,199.5,199.65,199.5,199.6
1382551620,199.14,199.5,199.13,199.13
1382551680,199.13,199.49,199.13,199.49
1382551740,199.49,199.78,199.49,199.78
1382551800,199.8,199.99,199.8,199.99
1382551860,199.99,200,199.99,200
1382551920,200,200,200,200
1382551980,200,200,200,200
1382552040,199.59,200.01,199.59,200.01
1382552100,200.03,201,200.03,201
1382552160,201,201.07,201,201.07
1382552220,201,201.07,201,201
1382552280,201.04,201.23,201.04,201.23
1382552340,201.25,201.97,201,201.04
1382552400,201.01,201.2,201.01,201.2
1382552460,201.2,201.2,201.2,201.2
1382552520,201.9,201.9,201.69,201.69
1382552580,201.69,201.69,201.5,201.69
1382552640,201.9,201.94,201.48,201.51
1382552700,201.51,201.51,201.51,201.51
1382552760,201.5,201.5,201.48,201.48
1382552820,201.49,201.9,201.48,201.48
1382552880,201.48,201.48,201.1,201.1
1382552940,201.03,201.03,200.01,200.01
